,Location,Indicator,Period,First Tooltip
3,Afghanistan,Incidence of tuberculosis (per 100 000 population per year),2016,189 [122-270]
23,Albania,Incidence of tuberculosis (per 100 000 population per year),2016,17 [14-19]
43,Algeria,Incidence of tuberculosis (per 100 000 population per year),2016,70 [54-89]
63,Andorra,Incidence of tuberculosis (per 100 000 population per year),2016,6 [5.1-6.9]
83,Angola,Incidence of tuberculosis (per 100 000 population per year),2016,362 [235-518]
103,Antigua and Barbuda,Incidence of tuberculosis (per 100 000 population per year),2016,3.7 [3.1-4.2]
123,Argentina,Incidence of tuberculosis (per 100 000 population per year),2016,27 [23-32]
143,Armenia,Incidence of tuberculosis (per 100 000 population per year),2016,44 [33-55]
163,Australia,Incidence of tuberculosis (per 100 000 population per year),2016,6.5 [5.6-7.5]
183,Austria,Incidence of tuberculosis (per 100 000 population per year),2016,8.1 [7-9.4]
203,Azerbaijan,Incidence of tuberculosis (per 100 000 population per year),2016,66 [51-84]
223,Bahamas,Incidence of tuberculosis (per 100 000 population per year),2016,27 [23-31]
243,Bahrain,Incidence of tuberculosis (per 100 000 population per year),2016,12 [11-14]
263,Bangladesh,Incidence of tuberculosis (per 100 000 population per year),2016,221 [161-291]
283,Barbados,Incidence of tuberculosis (per 100 000 population per year),2016,1.2 [1-1.4]
303,Belarus,Incidence of tuberculosis (per 100 000 population per year),2016,42 [33-54]
323,Belgium,Incidence of tuberculosis (per 100 000 population per year),2016,10 [8.5-12]
343,Belize,Incidence of tuberculosis (per 100 000 population per year),2016,37 [32-43]
363,Benin,Incidence of tuberculosis (per 100 000 population per year),2016,59 [38-84]
383,Bhutan,Incidence of tuberculosis (per 100 000 population per year),2016,193 [148-244]
403,Bolivia (Plurinational State of),Incidence of tuberculosis (per 100 000 population per year),2016,114 [75-162]
423,Bosnia and Herzegovina,Incidence of tuberculosis (per 100 000 population per year),2016,33 [26-42]
443,Botswana,Incidence of tuberculosis (per 100 000 population per year),2016,326 [252-410]
463,Brazil,Incidence of tuberculosis (per 100 000 population per year),2016,43 [36-49]
483,Brunei Darussalam,Incidence of tuberculosis (per 100 000 population per year),2016,66 [57-77]
503,Bulgaria,Incidence of tuberculosis (per 100 000 population per year),2016,27 [20-34]
523,Burkina Faso,Incidence of tuberculosis (per 100 000 population per year),2016,51 [33-72]
543,Burundi,Incidence of tuberculosis (per 100 000 population per year),2016,118 [76-169]
563,Cabo Verde,Incidence of tuberculosis (per 100 000 population per year),2016,58 [45-74]
583,Cambodia,Incidence of tuberculosis (per 100 000 population per year),2016,348 [225-497]
603,Cameroon,Incidence of tuberculosis (per 100 000 population per year),2016,203 [131-290]
623,Canada,Incidence of tuberculosis (per 100 000 population per year),2016,5.5 [4.7-6.3]
643,Central African Republic,Incidence of tuberculosis (per 100 000 population per year),2016,540 [349-771]
663,Chad,Incidence of tuberculosis (per 100 000 population per year),2016,144 [93-205]
683,Chile,Incidence of tuberculosis (per 100 000 population per year),2016,16 [14-19]
703,China,Incidence of tuberculosis (per 100 000 population per year),2016,63 [54-73]
723,Colombia,Incidence of tuberculosis (per 100 000 population per year),2016,33 [25-41]
743,Comoros,Incidence of tuberculosis (per 100 000 population per year),2016,35 [22-49]
763,Congo,Incidence of tuberculosis (per 100 000 population per year),2016,378 [240-547]
783,Cook Islands,Incidence of tuberculosis (per 100 000 population per year),2016,13 [11-15]
803,Costa Rica,Incidence of tuberculosis (per 100 000 population per year),2016,9.4 [7.2-12]
